day_of_week,member_casual,Average_ride
1,casual,00:40:55
1,member,00:20:21
2,casual,00:36:11
2,member,00:20:19
3,casual,00:35:01
3,member,00:20:22
4,casual,00:34:41
4,member,00:20:05
5,casual,00:39:45
5,member,00:21:00
6,casual,00:47:26
6,member,00:23:54
7,casual,00:49:08
7,member,00:23:54
