Day,Average_ride
2024-01-17,01:22:29
2024-01-16,01:04:16
2024-05-12,00:44:29
2024-04-14,00:43:51
2023-07-04,00:43:26
2024-05-25,00:43:11
2024-03-03,00:42:19
2023-09-03,00:41:57
2024-05-19,00:40:58
2024-05-04,00:40:40
