Month,member_casual,Average_ride
1,casual,00:29:23
1,member,00:21:16
2,casual,00:37:30
2,member,00:21:02
3,casual,00:38:42
3,member,00:19:05
4,casual,00:42:54
4,member,00:20:17
5,casual,00:46:49
5,member,00:22:17
6,casual,00:42:16
6,member,00:22:05
7,casual,00:44:30
7,member,00:22:47
8,casual,00:42:58
8,member,00:22:50
9,casual,00:41:18
9,member,00:21:43
10,casual,00:37:00
10,member,00:19:56
11,casual,00:30:43
11,member,00:18:54
12,casual,00:28:47
12,member,00:18:47
